date,time,latitude,longitude,ozone,pm
3/4/2015,19:34:12.0,38.4381835938,-78.8697753906,204,8990.95
3/4/2015,19:34:14.0,38.4381591797,-78.8697753906,219,1374.6
3/4/2015,19:34:16.0,38.4381469727,-78.8697835286,218,12351.04
3/4/2015,19:34:19.0,38.4381266276,-78.8697998047,218,7593.86
3/4/2015,19:34:20.984,38.4381062826,-78.8697998047,189,0.62
3/4/2015,19:34:23.0,38.4380900065,-78.8697835286,173,0.62
3/4/2015,19:34:26.0,38.4380615234,-78.8697916667,222,6055.72
3/4/2015,19:34:28.0,38.4380411784,-78.8697998047,166,0.62
3/4/2015,19:34:30.0,38.4380086263,-78.8697753906,807,4506.93
3/4/2015,19:34:32.0,38.4379964193,-78.8697509766,188,41303.64
3/4/2015,19:34:34.0,38.4379801432,-78.8697509766,181,18407.76
3/4/2015,19:34:36.984,38.4379597982,-78.8697184245,178,0.62
3/4/2015,19:34:39.0,38.4379191081,-78.8696858724,166,3298.15
3/4/2015,19:34:40.984,38.4378865560,-78.8696695964,173,0.62
3/4/2015,19:34:44.0,38.4378458659,-78.8696533203,166,0.62
3/4/2015,19:34:46.0,38.4378173828,-78.8696451823,167,0.62
3/4/2015,19:34:48.0,38.4377929688,-78.8696370443,161,8.78
3/4/2015,19:34:51.0,38.4377522786,-78.8696289062,178,7396.35
3/4/2015,19:34:52.984,38.4377319336,-78.8696044922,184,4991.94
3/4/2015,19:34:55.0,38.4377156576,-78.8695882161,188,8466.3
3/4/2015,19:34:56.984,38.4376953125,-78.8695882161,196,185.72
3/4/2015,19:35:0.0,38.4376708984,-78.8695638021,208,3386.39
3/4/2015,19:35:2.0,38.4376546224,-78.8695556641,204,1090.46
3/4/2015,19:35:4.0,38.4376342773,-78.8695393880,205,2648.03
3/4/2015,19:35:7.0,38.4375854492,-78.8695312500,229,0.62
3/4/2015,19:35:8.984,38.4375651042,-78.8695231120,235,18697
3/4/2015,19:35:11.0,38.4375488281,-78.8695149740,232,3004.07
3/4/2015,19:35:12.984,38.4375325521,-78.8695068359,209,12055.73
3/4/2015,19:35:16.0,38.4374918620,-78.8694986979,182,14891.98
3/4/2015,19:35:18.0,38.4374715169,-78.8694905599,211,2060.52
3/4/2015,19:35:20.0,38.4374552409,-78.8694824219,205,4716.77
3/4/2015,19:35:23.0,38.4374145508,-78.8694661458,246,2097.87
3/4/2015,19:35:24.984,38.4373901367,-78.8694742839,269,0.62
3/4/2015,19:35:27.0,38.4373657227,-78.8694824219,226,0.62
3/4/2015,19:35:28.984,38.4373575846,-78.8695068359,229,0.62
3/4/2015,19:35:32.0,38.4373494466,-78.8695556641,222,24212.83
3/4/2015,19:35:34.0,38.4373291016,-78.8695719401,229,3134.97
3/4/2015,19:35:36.0,38.4373087565,-78.8695882161,222,5401.06
3/4/2015,19:35:39.0,38.4373168945,-78.8696289062,221,5540.11
3/4/2015,19:35:40.984,38.4373087565,-78.8696614583,215,5308.25
3/4/2015,19:35:43.0,38.4372965495,-78.8696940104,192,41426.45
3/4/2015,19:35:46.0,38.4373046875,-78.8697428385,199,14660.58
3/4/2015,19:35:48.0,38.4373006185,-78.8697672526,185,2093.15
3/4/2015,19:35:50.0,38.4372721354,-78.8697753906,216,151.33
3/4/2015,19:35:52.0,38.4372395833,-78.8697835286,207,3091.85
3/4/2015,19:35:55.0,38.4371948242,-78.8698242188,192,2012.95
3/4/2015,19:35:56.984,38.4371704102,-78.8698404948,183,9150.03
3/4/2015,19:35:59.0,38.4371419271,-78.8698649089,243,19.75
3/4/2015,19:36:2.0,38.4371093750,-78.8699055990,227,80.56
3/4/2015,19:36:4.0,38.4370768229,-78.8699462891,209,0.62
3/4/2015,19:36:6.0,38.4370483398,-78.8699707031,225,15123.16
3/4/2015,19:36:8.0,38.4370320638,-78.8699462891,216,37264.69
3/4/2015,19:36:11.0,38.4370117188,-78.8699055990,214,5674.61
3/4/2015,19:36:12.984,38.4369954427,-78.8698730469,201,0.62
3/4/2015,19:36:15.0,38.4369750977,-78.8698649089,199,0.62
3/4/2015,19:36:18.0,38.4369344076,-78.8698404948,189,0.62
3/4/2015,19:36:20.0,38.4369018555,-78.8698323568,194,35837.86
3/4/2015,19:36:22.0,38.4368774414,-78.8698323568,202,11691.52
3/4/2015,19:36:24.984,38.4368448893,-78.8698404948,215,29068.76
3/4/2015,19:36:27.0,38.4368082682,-78.8698404948,220,3110.4
3/4/2015,19:36:28.984,38.4367757161,-78.8698323568,212,0.62
3/4/2015,19:36:31.0,38.4367350260,-78.8698323568,209,16537.45
3/4/2015,19:36:34.0,38.4366861979,-78.8698323568,206,0.62
3/4/2015,19:36:36.0,38.4366617839,-78.8698404948,254,73764.9
3/4/2015,19:36:38.0,38.4366373698,-78.8698486328,257,19372.07
3/4/2015,19:36:40.984,38.4366007487,-78.8698486328,237,5270.21
3/4/2015,19:36:43.0,38.4365681966,-78.8698649089,220,0.62
3/4/2015,19:36:44.984,38.4365397135,-78.8698649089,210,14411.18
3/4/2015,19:36:47.0,38.4365152995,-78.8698730469,219,5454.58
3/4/2015,19:36:50.0,38.4364868164,-78.8698811849,218,61758.71
3/4/2015,19:36:52.0,38.4364664714,-78.8698811849,251,2076.99
3/4/2015,19:36:54.0,38.4364501953,-78.8698730469,244,8205.72
